DateTime,Entries,UniqueIPs
1577861119,1598,1598
1577862019,1496,1496
1577862923,1588,1588
1577864716,1705,1705
1577865616,1729,1729
1577866518,1548,1548
1577868317,1205,1205
1577869214,1056,1056
1577870117,760,760
1577871919,1092,1092
1577872816,1249,1249
1577873718,1312,1312
1577875518,2027,2027
1577876417,2275,2275
1577877316,2423,2423
1577879116,1221,1221
1577880917,772,772
1577882717,1009,1009
1577884518,1105,1105
1577886318,1651,1651
1577888118,2121,2121
1577889918,3366,3366
1577891718,3451,3451
1577893517,3552,3552
1577895317,3498,3498
1577897119,2819,2819
1577898918,3368,3368
1577900718,3411,3411
1577902519,4108,4108
1577904320,3708,3708
1577906119,2496,2496
1577907917,1813,1813
1577909720,1917,1917
1577911519,1499,1499
1577913321,1233,1233
1577915120,1827,1827
1577916021,2117,2117
1577917821,2605,2605
1577919620,3317,3317
1577921420,4120,4120
1577923214,4689,4689
1577924115,5186,5186
1577925915,6007,6007
1577926815,6598,6598
1577928613,7366,7366
1577930414,7992,7992
1577931313,8255,8255
1577933114,9105,9105
1577934913,9749,9749
1577936714,10460,10460
1577938511,11316,11316
1577940313,12385,12385
1577941212,12751,12751
1577942110,13103,13103
1577943910,13951,13951
1577944810,14227,14227
1577945712,14609,14609
1577947511,15581,15581
1577948411,15881,15881
1577950209,16573,16573
1577952008,16387,16387
1577952908,16083,16083
1577954707,15912,15912
1577955605,15808,15808
1577957405,15296,15296
1577959204,15018,15018
1577960104,14981,14981
1577961904,14955,14955
1577962804,14571,14571
1577964604,14277,14277
